Mixture,Early_Nephron,Distal_Tubule,Myocyte,Proximal_Tubule,Podocyte,0_Stroma,1_Stroma,2_Stroma,3_Stroma,4_Stroma,Endothelium,Proliferating,Cellular_Stress,Neural
d20_Hyp1_S4_R1_001,0.087222697,0.204777018,0.0,0.048870268,0.193122627,0.158335531,0,0,0.040462284,0.023002925,0.083393214,0.160813436,0,0.0
d20_Hyp2_S5_R1_001,0.064042111,0.200171332,0.0,0.04175135,0.165648924,0.198659367,0,0,0.031219677,0.047483504,0.086684781,0.159729025,0,0.004609929
d20_Hyp3_S6_R1_001,0.064985255,0.198563868,0.0,0.085294488,0.209724798,0.154321492,0,0,0.034055072,0.036134192,0.061572323,0.155348511,0,0.0
d20_Norm1_S1_R1_001,0.123097002,0.133805629,0.0,0.04774065,0.188287984,0.067817364,0,0,0.019487699,0.0,0.081574348,0.338189324,0,0.0
d20_Norm2_S2_R1_001,0.105201784,0.121923182,0.0,0.089299046,0.241759184,0.020205009,0,0,0.002652638,0.0,0.051193732,0.364803732,0,0.002961693
d20_Norm3_S3_R1_001,0.092891844,0.119749395,0.0,0.095048508,0.202897552,0.070144369,0,0,0.010158636,0.0,0.058602887,0.346516136,0,0.003990672
d25_Hyp1_S10_R1_001,0.0,0.06454719,0.069561635,0.087791101,0.090202748,0.212018202,0,0,0.174240291,0.0,0.088794461,0.212844372,0,0.0
d25_Hyp2_S11_R1_001,0.0,0.070394538,0.072120667,0.101752969,0.088777484,0.22373369,0,0,0.149126464,0.0,0.086771466,0.207322722,0,0.0
d25_Hyp3_S12_R1_001,0.003501263,0.0,0.00602987,0.256631397,0.087456167,0.225399722,0,0,0.144899089,0.0,0.095327656,0.180754836,0,0.0
d25_Norm1_S7_R1_001,0.039634265,0.0,0.024075703,0.259242487,0.140115743,0.151736838,0,0,0.091939722,0.0,0.055367941,0.237887301,0,0.0
d25_Norm2_S8_R1_001,0.011030537,0.0,0.029579627,0.328435436,0.124708823,0.159700224,0,0,0.104230022,0.0,0.045840113,0.196475218,0,0.0
d25_Norm3_S9_R1_001,0.015874181,0.0,0.034133918,0.282867539,0.126220162,0.164142894,0,0,0.101902261,0.0,0.05688029,0.217978753,0,0.0
